wtr_end,Winter Thicket,The Last Push,0,The Silver Sword is in hand. Concord has proven themselves to the Mists.,Leave Winter Glade.,r_bellrow,Retrieve a shard from the Archives.,r_springhamlet,Retrieve a shard from the Waterlog.,r_waterlog_a,Retrieve a shard from the Sewers.,r_sewer_a,Talk to Mandy,r_mists_temple,The Last Push,The Silver Sword is in hand. Concord has to proven themselves to the Rot.,Leave Winter Glade.,Retrieve a shard from the Archives.,,Retrieve a shard from the Sewers.,Talk to Mandy,The Last Push,The Silver Sword is in hand. Concord has to proven themselves to the Rot.,Leave Winter Glade.,Retrieve a shard from the Archives.,,Retrieve a shard from the Sewers.,Talk to Mandy,The Last Push,The Silver Sword is in hand. Concord has to proven themselves to the Rot.,Leave Winter Glade.,Retrieve a shard from the Archives.,,Retrieve a shard from the Sewers.,Talk to Mandy,The Last Push,The Silver Sword is in hand. Concord has to proven themselves to the Rot.,Leave Winter Glade.,Retrieve a shard from the Archives.,,Retrieve a shard from the Sewers.,Talk to Mandy,,,,,,,,,,,,,,,
end_a,Spring Hamlet,Journey to the Center of the Grove,0,The hearts of each region have been united. The Grove's depths beckon....,Open the Temple doors.,r_mists_temple,,,,,,,Part the crystal from the Grove.,r_temple_inner,Journey to the Center of the Grove,The hearts of each region have been united. The Grove's depths beckon....,Open the Temple doors.,,,,Part the crystal from the Grove.,Journey to the Center of the Grove,The hearts of each region have been united. The Grove's depths beckon....,Open the Temple doors.,,,,Part the crystal from the Grove.,Journey to the Center of the Grove,The hearts of each region have been united. The Grove's depths beckon....,Open the Temple doors.,,,,Part the crystal from the Grove.,Journey to the Center of the Grove,The hearts of each region have been united. The Grove's depths beckon....,Open the Temple doors.,,,,Part the crystal from the Grove.,,,,,,,,,,,,,,,
end_b,Spring Hamlet,One on One,0,"Concord has bested the Grove's Clutch, but its grip still lingers.",,,,,,,,,Commune with the Grove.,r_theworld,One on One,"Concord has bested the Grove's Clutch, but its grip still lingers.",,,Reconvene with the village elders in Vista Outpost.,,Commune with the Grove.,One on One,"Concord has bested the Grove's Clutch, but its grip still lingers.",,,Reconvene with the village elders in Vista Outpost.,,Commune with the Grove.,One on One,"Concord has bested the Grove's Clutch, but its grip still lingers.",,,Reconvene with the village elders in Vista Outpost.,,Commune with the Grove.,One on One,"Concord has bested the Grove's Clutch, but its grip still lingers.",,,Reconvene with the village elders in Vista Outpost.,,Commune with the Grove.,,,,,,,,,,,,,,,
end_c,Spring Hamlet,Hard Fought,0,"Injured from the fight, Concord must refresh themselves on the waking world.",Catch up with old friends.,r_kindergarden,,,Talk to Plum.,r_kindergarden,,,Tend to the Kindergarden Vine once more.,r_kindergarden,New World,"Injured from the fight, Concord must refresh themselves on the waking world.",Talk to friends.,,Help the Towns recover.,,,New World,"Injured from the fight, Concord must refresh themselves on the waking world.",Talk to friends.,,Help the Towns recover.,,,New World,"Injured from the fight, Concord must refresh themselves on the waking world.",Talk to friends.,,Help the Towns recover.,,,New World,"Injured from the fight, Concord must refresh themselves on the waking world.",Talk to friends.,,Help the Towns recover.,,,,,,,,,,,,,,,,,
epilogue,Spring Hamlet,New World,0,"The Grove is finally at peace, ushering in a new era for its denizens.",Let Rana bother you.,r_kindergarden,,,Reconvene with the village elders in Vista Outpost.,r_vistaoutpost,,,Enjoy the newfound peace.,,To Be Continued...,"The Grove is finally at peace, ushering in a new era for its denizens.",,,,,,To Be Continued...,"The Grove is finally at peace, ushering in a new era for its denizens.",,,,,,To Be Continued...,"The Grove is finally at peace, ushering in a new era for its denizens.",,,,,,To Be Continued...,"The Grove is finally at peace, ushering in a new era for its denizens.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_0,Autumn Town,The Trip Up,1,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Head up using Perennial Plaza's Lift.,,,,,,,,,,The Trip Up,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Head up using Perennial Plaza's Lift.,,,,,The Trip Up,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Head up using Perennial Plaza's Lift.,,,,,The Trip Up,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Head up using Perennial Plaza's Lift.,,,,,The Trip Up,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Head up using Perennial Plaza's Lift.,,,,,,,,,,,,,,,,,,,
demo_1,Autumn Town,Return to Autumn Town,1,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Talk to Fuji.,,Meet Fuji and Rana inside.,,,,,,,,Return to Autumn Town,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Talk to Fuji.,Meet Fuji and Rana inside.,Obtain Access to the Sewers.,,,Return to Autumn Town,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Talk to Fuji.,Meet Fuji and Rana inside.,Obtain Access to the Sewers.,,,Return to Autumn Town,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Talk to Fuji.,Meet Fuji and Rana inside.,Obtain Access to the Sewers.,,,Return to Autumn Town,"Now that the Hamlet is thriving, people seek to reconnect with the remnants of Autumn Town.",Talk to Fuji.,Meet Fuji and Rana inside.,Obtain Access to the Sewers.,,,,,,,,,,,,,,,,,
demo_2,Autumn Town,Return to Autumn Town,1,"Autumn Town is in ruins, and Fuji is exploring ways to help them.",Talk to Rana.,r_city_road,Help Rana complete Requests.,,Obtain Access to the Sewers.,r_puzzleplateau,,,Accompany Rana into the Sewers,,Return to Autumn Town,"Autumn Town is in ruins, and Fuji is exploring ways to help them.",Talk to Rana.,Help Rana complete Requests.,,,Accompany Rana into the Sewers,Return to Autumn Town,"Autumn Town is in ruins, and Fuji is exploring ways to help them.",Talk to Rana.,Help Rana complete Requests.,,,Accompany Rana into the Sewers,Return to Autumn Town,"Autumn Town is in ruins, and Fuji is exploring ways to help them.",Talk to Rana.,Help Rana complete Requests.,,,Accompany Rana into the Sewers,Return to Autumn Town,"Autumn Town is in ruins, and Fuji is exploring ways to help them.",Talk to Rana.,Help Rana complete Requests.,,,Accompany Rana into the Sewers,,,,,,,,,,,,,,,
